transcript_id,sprot_Top_BLASTX_hit,RNAMMER,prot_id,prot_coords,sprot_Top_BLASTP_hit,Pfam,SignalP,TmHMM,eggnog,Kegg,gene_ontology_blast,gene_ontology_pfam
NODE_10354_length_1968_cov_1026.02_g4245_i3,"ADT1_CAEEL^ADT1_CAEEL^Q:1331-417,H:222-533^29.595%ID^E:1.59e-33^RecName: Full=A disintegrin and metalloproteinase with thrombospondin motifs adt-1 {ECO:0000305};^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditina; Rhabditomorpha; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis",.,NODE_10354_length_1968_cov_1026.02_g4245_i3.p1,126-1340[-],"ADT1_CAEEL^ADT1_CAEEL^Q:4-308,H:222-533^29.595%ID^E:9.2e-36^RecName: Full=A disintegrin and metalloproteinase with thrombospondin motifs adt-1 {ECO:0000305};^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditina; Rhabditomorpha; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis",PF13688.6^Reprolysin_5^Metallo-peptidase family M12^36-205^E:3.5e-12`PF01421.19^Reprolysin^Reprolysin (M12B) family zinc metalloprotease^40-228^E:1.2e-15`PF13582.6^Reprolysin_3^Metallo-peptidase family M12B Reprolysin-like^47-179^E:2.7e-09`PF13583.6^Reprolysin_4^Metallo-peptidase family M12B Reprolysin-like^105-191^E:2e-06`PF13574.6^Reprolysin_2^Metallo-peptidase family M12B Reprolysin-like^124-216^E:2.6e-08`PF17771.1^ADAM_CR_2^ADAM cysteine-rich domain^244-308^E:8.7e-10`PF17771.1^ADAM_CR_2^ADAM cysteine-rich domain^335-403^E:4.1e-05,.,.,ENOG41104P0^Thrombospondin type 1 domain,KEGG:cel:CELE_C02B4.1,GO:0005576^cellular_component^extracellular region`GO:0046872^molecular_function^metal ion binding`GO:0004222^molecular_function^metalloendopeptidase activity,GO:0004222^molecular_function^metalloendopeptidase activity`GO:0006508^biological_process^proteolysis
NODE_104562_length_132_cov_5.7013_g97342_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_10457_length_1956_cov_0.983167_g7363_i0,"GXLT2_XENLA^GXLT2_XENLA^Q:579-1346,H:102-371^30.769%ID^E:1.03e-33^RecName: Full=Glucoside xylosyltransferase 2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus",.,NODE_10457_length_1956_cov_0.983167_g7363_i0.p1,108-1511[+],"GXLT2_XENLA^GXLT2_XENLA^Q:158-413,H:102-371^30.769%ID^E:1.16e-34^RecName: Full=Glucoside xylosyltransferase 2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus",PF01501.20^Glyco_transf_8^Glycosyl transferase family 8^235-368^E:1.6e-07,.,ExpAA=22.69^PredHel=1^Topology=i13-35o,.,KEGG:xla:446519`KO:K13676,GO:0016021^cellular_component^integral component of membrane`GO:0035252^molecular_function^UDP-xylosyltransferase activity`GO:0016266^biological_process^O-glycan processing,"GO:0016757^molecular_function^transferase activity, transferring glycosyl groups"
NODE_10502_length_1951_cov_2.03586_g7390_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_10505_length_1950_cov_293.099_g7393_i0,"TENX_HUMAN^TENX_HUMAN^Q:1111-194,H:388-680^24.316%ID^E:2.85e-06^RecName: Full=Tenascin-X {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo",.,NODE_10505_length_1950_cov_293.099_g7393_i0.p1,191-1867[-],"TENX_HUMAN^TENX_HUMAN^Q:253-513,H:264-523^28.521%ID^E:9.63e-09^RecName: Full=Tenascin-X {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo",PF00431.20^CUB^CUB domain^22-132^E:1.7e-06`PF12661.7^hEGF^Human growth factor-like EGF^278-294^E:0.026,sigP:1^16^0.86^YES,.,ENOG410ZYS4^fibrinogen,KEGG:hsa:7148`KO:K06252,GO:0062023^cellular_component^collagen-containing extracellular matrix`GO:0070062^cellular_component^extracellular exosome`GO:0031012^cellular_component^extracellular matrix`GO:0005576^cellular_component^extracellular region`GO:0005615^cellular_component^extracellular space`GO:0098633^molecular_function^collagen fibril binding`GO:0005201^molecular_function^extracellular matrix structural constituent`GO:0008201^molecular_function^heparin binding`GO:0005178^molecular_function^integrin binding`GO:0030036^biological_process^actin cytoskeleton organization`GO:0007155^biological_process^cell adhesion`GO:0030199^biological_process^collagen fibril organization`GO:0032963^biological_process^collagen metabolic process`GO:0048251^biological_process^elastic fiber assembly,.
NODE_10508_length_1950_cov_5.46069_g7395_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_10519_length_1949_cov_2.1246_g7404_i0,"EST6_APIME^EST6_APIME^Q:1911-1348,H:1-192^37.949%ID^E:1.39e-55^RecName: Full=Venom carboxylesterase-6;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Apoidea; Apidae; Apis`EST6_APIME^EST6_APIME^Q:1343-897,H:194-341^38.667%ID^E:1.39e-55^RecName: Full=Venom carboxylesterase-6;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Apoidea; Apidae; Apis",.,NODE_10519_length_1949_cov_2.1246_g7404_i0.p2,194-805[-],.,PF00135.28^COesterase^Carboxylesterase family^13-177^E:2e-22,.,.,.,.,.,.
NODE_10551_length_1943_cov_1063.67_g5353_i2,.,.,.,.,.,.,.,.,.,.,.,.
NODE_105639_length_131_cov_1.92105_g98419_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_1057_length_4847_cov_70.9336_g547_i1,.,.,.,.,.,.,.,.,.,.,.,.
NODE_10581_length_1940_cov_132.646_g7440_i0,"ACT5C_ANOGA^ACT5C_ANOGA^Q:67-1194,H:1-376^98.67%ID^E:0^RecName: Full=Actin-5C;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Nematocera; Culicoidea; Culicidae; Anophelinae; Anopheles",.,NODE_10581_length_1940_cov_132.646_g7440_i0.p1,67-1197[+],"ACT5C_ANOGA^ACT5C_ANOGA^Q:1-376,H:1-376^98.67%ID^E:0^RecName: Full=Actin-5C;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Nematocera; Culicoidea; Culicidae; Anophelinae; Anopheles",PF00022.19^Actin^Actin^4-376^E:4.1e-149,.,.,COG5277^Actin-related protein,KEGG:aga:AgaP_AGAP000651`KO:K05692,GO:0015629^cellular_component^actin cytoskeleton`GO:0005737^cellular_component^cytoplasm`GO:0005524^molecular_function^ATP binding`GO:0000281^biological_process^mitotic cytokinesis,.
NODE_10596_length_1937_cov_60.0122_g7452_i0,"ADT1_CAEEL^ADT1_CAEEL^Q:638-1147,H:235-405^33.516%ID^E:4.47e-26^RecName: Full=A disintegrin and metalloproteinase with thrombospondin motifs adt-1 {ECO:0000305};^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditina; Rhabditomorpha; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis`ADT1_CAEEL^ADT1_CAEEL^Q:1164-1520,H:411-534^31.2%ID^E:4.47e-26^RecName: Full=A disintegrin and metalloproteinase with thrombospondin motifs adt-1 {ECO:0000305};^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditina; Rhabditomorpha; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis",.,NODE_10596_length_1937_cov_60.0122_g7452_i0.p1,5-1183[+],"ATS16_HUMAN^ATS16_HUMAN^Q:204-391,H:284-471^31.156%ID^E:8.9e-21^RecName: Full=A disintegrin and metalloproteinase with thrombospondin motifs 16;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo",PF01562.19^Pep_M12B_propep^Reprolysin family propeptide^67-162^E:8.6e-09`PF01421.19^Reprolysin^Reprolysin (M12B) family zinc metalloprotease^212-381^E:3.9e-11`PF13688.6^Reprolysin_5^Metallo-peptidase family M12^214-381^E:5.7e-09`PF13583.6^Reprolysin_4^Metallo-peptidase family M12B Reprolysin-like^214-381^E:5.5e-05`PF13582.6^Reprolysin_3^Metallo-peptidase family M12B Reprolysin-like^246-375^E:2.1e-10,sigP:1^24^0.677^YES,.,"ENOG410XPKZ^ADAM metallopeptidase with thrombospondin type 1, motif",KEGG:hsa:170690`KO:K08630,GO:0005576^cellular_component^extracellular region`GO:0046872^molecular_function^metal ion binding`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0001658^biological_process^branching involved in ureteric bud morphogenesis`GO:0048232^biological_process^male gamete generation`GO:1902017^biological_process^regulation of cilium assembly`GO:0003073^biological_process^regulation of systemic arterial blood pressure,GO:0004222^molecular_function^metalloendopeptidase activity`GO:0006508^biological_process^proteolysis
NODE_10648_length_1930_cov_48.5136_g7489_i0,.,.,NODE_10648_length_1930_cov_48.5136_g7489_i0.p1,354-1817[-],.,.,sigP:1^20^0.847^YES,.,.,.,.,.
NODE_106809_length_128_cov_1412.44_g99589_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_106841_length_128_cov_4.90411_g99621_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_107224_length_128_cov_2.31507_g100004_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_10737_length_1918_cov_169.661_g1142_i3,.,.,NODE_10737_length_1918_cov_169.661_g1142_i3.p1,63-1568[-],.,.,.,.,.,.,.,.
NODE_10739_length_1918_cov_2.2029_g7553_i0,"TREA_APIME^TREA_APIME^Q:1905-124,H:23-615^47.508%ID^E:0^RecName: Full=Trehalase;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Apoidea; Apidae; Apis",.,NODE_10739_length_1918_cov_2.2029_g7553_i0.p1,1-1917[-],"TREA_APIME^TREA_APIME^Q:5-598,H:23-615^47.508%ID^E:0^RecName: Full=Trehalase;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Apoidea; Apidae; Apis","PF01204.18^Trehalase^Trehalase^40-554^E:5.8e-164`PF06202.14^GDE_C^Amylo-alpha-1,6-glucosidase^173-402^E:6.1e-06",sigP:1^17^0.886^YES,ExpAA=22.55^PredHel=1^Topology=o577-599i,COG1626^trehalase,KEGG:ame:410795`KO:K01194,"GO:0016021^cellular_component^integral component of membrane`GO:0004555^molecular_function^alpha,alpha-trehalase activity`GO:0005991^biological_process^trehalose metabolic process","GO:0004555^molecular_function^alpha,alpha-trehalase activity`GO:0005991^biological_process^trehalose metabolic process"
NODE_10748_length_1916_cov_1427.62_g3092_i4,"LUCI_VARHI^LUCI_VARHI^Q:1841-195,H:1-555^46.429%ID^E:0^RecName: Full=Luciferin 2-monooxygenase;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Oligostraca; Ostracoda; Myodocopa; Myodocopida; Cypridinoidea; Cypridinidae; Vargula",.,NODE_10748_length_1916_cov_1427.62_g3092_i4.p1,192-1847[-],"LUCI_VARHI^LUCI_VARHI^Q:3-551,H:1-555^46.429%ID^E:0^RecName: Full=Luciferin 2-monooxygenase;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Oligostraca; Ostracoda; Myodocopa; Myodocopida; Cypridinoidea; Cypridinidae; Vargula",PF00094.25^VWD^von Willebrand factor type D domain^79-233^E:1.4e-14`PF00094.25^VWD^von Willebrand factor type D domain^318-459^E:2.3e-21,sigP:1^17^0.922^YES,.,.,.,GO:0016831^molecular_function^carboxy-lyase activity`GO:0047712^molecular_function^Cypridina-luciferin 2-monooxygenase activity`GO:0008218^biological_process^bioluminescence,.
NODE_10779_length_1911_cov_1016.2_g5353_i3,.,.,.,.,.,.,.,.,.,.,.,.
NODE_107947_length_126_cov_3.32394_g100727_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_108356_length_126_cov_1.85915_g101136_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_10872_length_1900_cov_8.46721_g7639_i0,"ESTF_MYZPE^ESTF_MYZPE^Q:1816-371,H:27-504^34.406%ID^E:4.26e-75^RecName: Full=Esterase FE4;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Sternorrhyncha; Aphidomorpha; Aphidoidea; Aphididae; Macrosiphini; Myzus",.,NODE_10872_length_1900_cov_8.46721_g7639_i0.p1,188-1900[-],"ESTF_MYZPE^ESTF_MYZPE^Q:29-510,H:27-504^34.406%ID^E:8.71e-76^RecName: Full=Esterase FE4;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Sternorrhyncha; Aphidomorpha; Aphidoidea; Aphididae; Macrosiphini; Myzus",PF00135.28^COesterase^Carboxylesterase family^29-549^E:3e-130`PF07859.13^Abhydrolase_3^alpha/beta hydrolase fold^125-216^E:2.3e-05,.,ExpAA=11.94^PredHel=1^Topology=i12-29o,.,.,GO:0080030^molecular_function^methyl indole-3-acetate esterase activity,GO:0016787^molecular_function^hydrolase activity
NODE_10887_length_1898_cov_63.2333_g6458_i2,.,.,NODE_10887_length_1898_cov_63.2333_g6458_i2.p1,1278-1835[-],.,.,sigP:1^19^0.889^YES,.,.,.,.,.
NODE_10934_length_1892_cov_0.250953_g7683_i0,"CCKAR_XENLA^CCKAR_XENLA^Q:200-1285,H:72-440^29.111%ID^E:3.53e-36^RecName: Full=Cholecystokinin receptor;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus",.,NODE_10934_length_1892_cov_0.250953_g7683_i0.p1,2-1342[+],"CCKAR_XENLA^CCKAR_XENLA^Q:67-428,H:72-440^29.111%ID^E:3.31e-47^RecName: Full=Cholecystokinin receptor;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus",PF10320.9^7TM_GPCR_Srsx^Serpentine type 7TM GPCR chemoreceptor Srsx^75-404^E:1.8e-09`PF10328.9^7TM_GPCR_Srx^Serpentine type 7TM GPCR chemoreceptor Srx^75-281^E:9e-07`PF00001.21^7tm_1^7 transmembrane receptor (rhodopsin family)^80-391^E:1.2e-53`PF10324.9^7TM_GPCR_Srw^Serpentine type 7TM GPCR chemoreceptor Srw^308-406^E:5.6e-06,.,ExpAA=156.78^PredHel=7^Topology=o66-88i100-122o142-164i184-206o231-253i335-357o372-394i,.,KEGG:xla:378563`KO:K04194,GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane`GO:0004930^molecular_function^G protein-coupled receptor activity,GO:0004930^molecular_function^G protein-coupled receptor activity`GO:0007186^biological_process^G protein-coupled receptor signaling pathway`GO:0016021^cellular_component^integral component of membrane`GO:0008528^molecular_function^G protein-coupled peptide receptor activity
NODE_10960_length_1888_cov_3.73704_g7642_i1,"BUN1_DROME^BUN1_DROME^Q:1073-882,H:48-111^78.125%ID^E:1.89e-24^RecName: Full=Protein bunched, class 1/class 3/D/E isoforms;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora",.,NODE_10960_length_1888_cov_3.73704_g7642_i1.p1,840-1886[-],"BUN1_DROME^BUN1_DROME^Q:272-335,H:48-111^78.125%ID^E:2.3e-26^RecName: Full=Protein bunched, class 1/class 3/D/E isoforms;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora",PF01166.18^TSC22^TSC-22/dip/bun family^288-342^E:1e-27,.,.,"ENOG411251N^TSC22 domain family, member",.,GO:0005829^cellular_component^cytosol`GO:0005634^cellular_component^nucleus`GO:0003700^molecular_function^DNA-binding transcription factor activity`GO:0042803^molecular_function^protein homodimerization activity`GO:0007304^biological_process^chorion-containing eggshell formation`GO:0001751^biological_process^compound eye photoreceptor cell differentiation`GO:0008340^biological_process^determination of adult lifespan`GO:0046843^biological_process^dorsal appendage formation`GO:0036335^biological_process^intestinal stem cell homeostasis`GO:0016319^biological_process^mushroom body development`GO:0043066^biological_process^negative regulation of apoptotic process`GO:0009996^biological_process^negative regulation of cell fate specification`GO:0030707^biological_process^ovarian follicle cell development`GO:0007297^biological_process^ovarian follicle cell migration`GO:0030307^biological_process^positive regulation of cell growth`GO:0008284^biological_process^positive regulation of cell population proliferation`GO:0002052^biological_process^positive regulation of neuroblast proliferation`GO:0042246^biological_process^tissue regeneration,"GO:0003700^molecular_function^DNA-binding transcription factor activity`GO:0006355^biological_process^regulation of transcription, DNA-templated"
NODE_10966_length_1887_cov_3.9361_g7703_i0,"P4HA2_CHICK^P4HA2_CHICK^Q:149-1711,H:5-529^31.673%ID^E:2.02e-64^RecName: Full=Prolyl 4-hydroxylase subunit alpha-2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Gallus",.,NODE_10966_length_1887_cov_3.9361_g7703_i0.p1,140-1753[+],"P4HA2_CHICK^P4HA2_CHICK^Q:4-524,H:5-529^31.673%ID^E:1.95e-65^RecName: Full=Prolyl 4-hydroxylase subunit alpha-2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Gallus","PF08336.11^P4Ha_N^Prolyl 4-Hydroxylase alpha-subunit, N-terminal region^22-156^E:1.2e-11`PF03171.20^2OG-FeII_Oxy^2OG-Fe(II) oxygenase superfamily^407-513^E:6.1e-05`PF13640.6^2OG-FeII_Oxy_3^2OG-Fe(II) oxygenase superfamily^408-513^E:8e-17",sigP:1^18^0.897^YES,.,ENOG410XS5J^prolyl 4-hydroxylase,KEGG:gga:416326`KO:K00472,"GO:0005783^cellular_component^endoplasmic reticulum`GO:0005788^cellular_component^endoplasmic reticulum lumen`GO:0005506^molecular_function^iron ion binding`GO:0031418^molecular_function^L-ascorbic acid binding`GO:0016702^molecular_function^oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen`GO:0004656^molecular_function^procollagen-proline 4-dioxygenase activity`GO:0018401^biological_process^peptidyl-proline hydroxylation to 4-hydroxy-L-proline","GO:0004656^molecular_function^procollagen-proline 4-dioxygenase activity`GO:0016702^molecular_function^oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen`GO:0055114^biological_process^oxidation-reduction process`GO:0005783^cellular_component^endoplasmic reticulum`GO:0016491^molecular_function^oxidoreductase activity"
